epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2631.29,1.73642,1.83196,1.79144,0.55752,0.50363,0.49725,0.18151,2.28636,2.01683,2.23773,0.007228,0.007228,0.007228
44,2692.67,1.72944,1.80127,1.77329,0.55687,0.49607,0.48727,0.17258,2.3164,2.07576,2.26096,0.007162,0.007162,0.007162
45,2753.55,1.71523,1.80232,1.76081,0.53806,0.51075,0.50707,0.18886,2.34529,1.95905,2.28439,0.007096,0.007096,0.007096
46,2814.57,1.72048,1.79154,1.75983,0.58192,0.49747,0.4728,0.1843,2.28736,2.08797,2.23052,0.00703,0.00703,0.00703
47,2875.66,1.70999,1.76576,1.75004,0.54398,0.49502,0.48507,0.18444,2.27441,2.1333,2.22668,0.006964,0.006964,0.006964
48,2936.18,1.70749,1.7429,1.73901,0.61374,0.49858,0.51098,0.19843,2.27543,2.03998,2.21498,0.006898,0.006898,0.006898
49,2997.22,1.70346,1.74843,1.73479,0.60905,0.50203,0.5026,0.18459,2.31457,2.00216,2.24374,0.006832,0.006832,0.006832
50,3058.15,1.70056,1.73519,1.73554,0.53558,0.50461,0.49236,0.17803,2.34433,1.98646,2.28459,0.006766,0.006766,0.006766
51,3119.35,1.71293,1.71686,1.74289,0.59816,0.50045,0.51066,0.19134,2.35031,1.89263,2.24304,0.0067,0.0067,0.0067
52,3180.9,1.68005,1.67867,1.72626,0.59218,0.51148,0.51408,0.18896,2.33541,1.97002,2.25728,0.006634,0.006634,0.006634
53,3241.7,1.68574,1.68015,1.71618,0.59824,0.5097,0.5015,0.18565,2.3114,1.97758,2.22946,0.006568,0.006568,0.006568
54,3302.38,1.67292,1.65441,1.70876,0.64826,0.52918,0.54242,0.20733,2.28775,1.93993,2.19162,0.006502,0.006502,0.006502
55,3363.47,1.67894,1.68088,1.71232,0.62048,0.54665,0.52726,0.19822,2.25503,1.87761,2.18989,0.006436,0.006436,0.006436
56,3425.2,1.66701,1.65235,1.70836,0.59308,0.50816,0.50941,0.18956,2.32979,2.06937,2.25921,0.00637,0.00637,0.00637
57,3486.51,1.65619,1.62571,1.69262,0.58593,0.53134,0.5375,0.19696,2.36959,1.88985,2.2724,0.006304,0.006304,0.006304
58,3556.44,1.65601,1.62563,1.70014,0.62651,0.52645,0.54186,0.20315,2.31139,1.82657,2.21922,0.006238,0.006238,0.006238
59,3626.56,1.6603,1.61052,1.6828,0.6436,0.52206,0.54642,0.20559,2.31746,1.87195,2.22839,0.006172,0.006172,0.006172
60,3696.82,1.64553,1.57919,1.68383,0.61124,0.54544,0.54638,0.20336,2.34923,1.82052,2.24475,0.006106,0.006106,0.006106
61,3773.21,1.65026,1.59613,1.67914,0.59419,0.56835,0.55144,0.20631,2.34124,1.89774,2.2444,0.00604,0.00604,0.00604
62,3843.44,1.63912,1.56509,1.66963,0.57533,0.53948,0.52006,0.19735,2.34659,1.9015,2.23265,0.005974,0.005974,0.005974
63,3915.58,1.6407,1.55556,1.66777,0.61219,0.54746,0.53276,0.19851,2.33906,1.90994,2.23565,0.005908,0.005908,0.005908
64,3987.39,1.64052,1.53986,1.66876,0.61573,0.52657,0.5386,0.20845,2.28961,1.91191,2.19886,0.005842,0.005842,0.005842
65,4059.61,1.6284,1.56035,1.66101,0.62181,0.51574,0.53592,0.20827,2.33356,1.85649,2.23098,0.005776,0.005776,0.005776
66,4131.07,1.62807,1.53089,1.65221,0.59119,0.55117,0.54301,0.20397,2.33925,1.81116,2.23619,0.00571,0.00571,0.00571
